User_ID,Product_ID,Category,Brand,User_Age,User_Gender,User_Location,Device_Type,Session_Duration_Min,Pages_Viewed,Time_of_Day,Previous_Purchases,User_Rating,Product_Price,Discount_Applied,Graph_Similarity_Score,Federated_Cluster_ID,Local_Model_Accuracy,Global_Model_Weight,Personalization_Factor,Purchase_Probability,Recommended
U0190,P0162,Sports,BrandD,36,Female,Urban,Mobile,28.77,8,Evening,11,1,31.25,1,0.878,1,0.877,0.179,0.341,0.479,0
U0175,P0124,Books,BrandB,62,Female,Urban,Mobile,3.9,16,Evening,12,2,125.29,1,0.724,8,0.682,0.24,0.211,0.443,0
U0051,P0087,Toys,BrandD,24,Male,Suburban,Tablet,12.27,18,Morning,35,2,398.75,1,0.662,10,0.925,0.792,0.444,0.526,0
U0055,P0055,Electronics,BrandD,64,Male,Suburban,Desktop,47.64,1,Morning,38,4,29.56,0,0.113,9,0.904,0.747,0.85,0.713,1
U0244,P0032,Books,BrandA,24,Other,Suburban,Mobile,27.78,1,Night,33,1,428.27,0,0.773,1,0.606,0.141,0.413,0.518,0
U0131,P0178,Home & Kitchen,BrandD,43,Male,Urban,Mobile,18.8,12,Night,5,3,330.79,0,0.182,7,0.645,0.283,0.131,0.472,0
U0135,P0135,Home & Kitchen,BrandE,57,Female,Suburban,Mobile,23.66,6,Morning,37,2,220.04,0,0.334,2,0.774,0.604,0.347,0.511,0
U0021,P0093,Toys,BrandE,22,Female,Urban,Tablet,51.41,9,Morning,49,1,176.48,1,0.596,6,0.761,0.39,0.991,0.53,0
U0167,P0008,Books,BrandA,38,Female,Urban,Mobile,45.19,5,Evening,39,3,14.53,0,0.507,5,0.848,0.841,0.709,0.693,1
U0274,P0065,Sports,BrandB,31,Female,Suburban,Mobile,17.07,16,Afternoon,7,2,413.48,0,0.114,1,0.631,0.806,0.911,0.551,0
U0089,P0057,Sports,BrandB,21,Male,Suburban,Mobile,7.93,18,Evening,7,1,75.65,0,0.842,2,0.826,0.902,0.797,0.653,1
U0014,P0067,Beauty,BrandD,40,Female,Urban,Desktop,15.87,17,Morning,39,4,158.22,0,0.891,2,0.816,0.607,0.586,0.799,1
U0242,P0187,Home & Kitchen,BrandD,59,Male,Urban,Desktop,55.32,18,Night,32,2,286.71,1,0.714,10,0.682,0.417,0.234,0.446,0
U0265,P0072,Clothing,BrandD,37,Female,Urban,Desktop,35.31,1,Morning,33,2,126.77,0,0.587,10,0.79,0.645,0.414,0.578,0
U0053,P0054,Beauty,BrandB,32,Male,Urban,Mobile,32.48,19,Night,43,1,251.08,0,0.965,6,0.678,0.18,0.625,0.614,1
U0092,P0067,Sports,BrandC,62,Female,Suburban,Mobile,36.19,8,Night,14,2,405.62,0,0.208,1,0.651,0.109,0.884,0.569,0
U0264,P0051,Books,BrandE,46,Male,Rural,Mobile,22.6,3,Night,35,3,237.92,1,0.764,4,0.801,0.115,0.342,0.561,0
U0035,P0097,Sports,BrandC,25,Male,Urban,Desktop,48.62,5,Night,34,2,474.74,0,0.216,10,0.942,0.467,0.209,0.493,0
U0206,P0092,Books,BrandC,58,Male,Suburban,Mobile,31.87,8,Afternoon,45,5,424.51,0,0.444,5,0.683,0.305,0.603,0.746,1
U0081,P0008,Beauty,BrandB,36,Male,Rural,Mobile,7.89,19,Morning,21,3,169.85,0,0.627,2,0.724,0.242,0.259,0.602,1
U0050,P0162,Home & Kitchen,BrandC,56,Female,Rural,Desktop,8.61,18,Evening,22,1,202.98,1,0.763,2,0.69,0.654,0.649,0.48,0
U0002,P0035,Sports,BrandA,63,Male,Urban,Desktop,32.67,18,Night,39,3,214.55,0,0.103,7,0.693,0.996,0.337,0.507,0
U0054,P0096,Toys,BrandD,45,Other,Rural,Mobile,56.26,1,Night,44,5,314.96,0,0.335,7,0.741,0.26,0.308,0.677,1
U0106,P0088,Books,BrandA,63,Other,Urban,Mobile,19.19,15,Evening,21,5,146.96,1,0.584,6,0.846,0.592,0.459,0.678,1
U0260,P0078,Home & Kitchen,BrandE,44,Female,Urban,Mobile,52.3,18,Evening,4,2,484.78,1,0.58,1,0.614,0.208,0.634,0.486,0
U0191,P0032,Clothing,BrandD,21,Male,Urban,Desktop,46.08,7,Night,30,2,306.3,0,0.674,3,0.935,0.941,0.591,0.66,1
U0218,P0120,Books,BrandC,32,Male,Urban,Desktop,15.62,16,Evening,12,4,202.7,1,0.373,9,0.616,0.363,0.32,0.502,0
U0044,P0046,Beauty,BrandE,52,Female,Urban,Mobile,3.14,16,Evening,27,3,324.28,0,0.586,10,0.908,0.891,0.902,0.759,1
U0162,P0144,Clothing,BrandD,54,Male,Urban,Mobile,7.01,15,Afternoon,19,4,200.73,1,0.271,1,0.913,0.355,0.199,0.517,0
U0202,P0196,Clothing,BrandC,18,Male,Urban,Desktop,43.98,6,Evening,32,5,409.81,0,0.268,2,0.784,0.825,0.136,0.638,1
U0270,P0165,Electronics,BrandA,20,Female,Rural,Desktop,12.78,9,Morning,15,2,286.08,0,0.619,8,0.648,0.288,0.642,0.602,1
U0271,P0182,Sports,BrandD,64,Female,Rural,Mobile,22.9,7,Morning,28,2,25.78,1,0.717,7,0.798,0.364,0.211,0.465,0
U0215,P0142,Books,BrandC,41,Female,Urban,Mobile,30.6,14,Morning,22,2,92.49,1,0.208,9,0.82,0.273,0.554,0.436,0
U0252,P0055,Clothing,BrandA,44,Male,Rural,Mobile,43.8,11,Night,23,1,433.17,0,0.211,10,0.9,0.338,0.957,0.574,0
U0190,P0176,Electronics,BrandE,57,Female,Rural,Mobile,7.68,16,Morning,33,5,283.64,1,0.609,4,0.793,0.851,0.729,0.726,1
U0296,P0007,Beauty,BrandE,53,Male,Suburban,Tablet,24.98,6,Afternoon,6,2,475.42,0,0.343,4,0.744,0.675,0.656,0.569,0
U0213,P0074,Home & Kitchen,BrandE,51,Male,Urban,Desktop,29.62,16,Morning,37,5,40.85,1,0.453,7,0.893,0.465,0.617,0.693,1
U0208,P0007,Toys,BrandE,46,Female,Suburban,Desktop,32.91,16,Night,36,2,151.15,0,0.461,1,0.943,0.974,0.262,0.553,0
U0237,P0161,Toys,BrandB,41,Male,Rural,Mobile,49.28,12,Afternoon,3,3,100.8,0,0.261,10,0.826,0.518,0.489,0.595,0
U0053,P0151,Books,BrandD,41,Male,Suburban,Desktop,11.13,17,Morning,33,5,279.15,0,0.101,9,0.906,0.973,0.408,0.683,1
U0280,P0085,Clothing,BrandD,59,Male,Urban,Mobile,48.66,5,Afternoon,41,4,194.48,0,0.868,2,0.81,0.277,0.958,0.867,1
U0217,P0147,Toys,BrandB,21,Female,Suburban,Mobile,41.88,13,Afternoon,21,1,82.85,0,0.744,1,0.841,0.914,0.318,0.541,0
U0252,P0112,Sports,BrandC,20,Female,Suburban,Mobile,33.8,8,Night,4,4,323.16,0,0.721,7,0.841,0.112,0.524,0.757,1
U0188,P0125,Toys,BrandC,51,Female,Suburban,Mobile,42.27,5,Night,49,5,270.47,0,0.592,6,0.847,0.591,0.944,0.877,1
U0041,P0147,Toys,BrandE,40,Female,Urban,Desktop,25.31,12,Afternoon,41,2,140.99,1,0.731,3,0.712,0.481,0.81,0.571,0
U0157,P0036,Toys,BrandA,40,Male,Urban,Mobile,9.17,9,Morning,22,5,242.49,0,0.942,1,0.801,0.573,0.968,0.942,1
U0015,P0029,Electronics,BrandC,62,Female,Rural,Mobile,40.28,3,Night,14,1,374.14,0,0.699,5,0.808,0.598,0.647,0.591,0
U0065,P0188,Clothing,BrandA,22,Male,Rural,Mobile,31.96,3,Afternoon,30,5,106.61,0,0.339,10,0.71,0.45,0.4,0.69,1
U0009,P0082,Sports,BrandD,48,Male,Urban,Mobile,38.72,1,Evening,8,2,149.99,0,0.614,4,0.722,0.998,0.844,0.656,1
U0129,P0002,Clothing,BrandA,58,Female,Rural,Mobile,20.94,18,Evening,42,4,176.32,0,0.498,5,0.867,0.979,0.362,0.685,1
U0136,P0129,Books,BrandD,23,Other,Urban,Mobile,54.51,12,Night,24,3,374.63,0,0.601,1,0.804,0.966,0.248,0.611,1
U0063,P0047,Books,BrandB,54,Male,Suburban,Desktop,35.65,9,Morning,24,4,424.23,0,0.566,1,0.652,0.981,0.736,0.731,1
U0139,P0197,Books,BrandB,27,Male,Suburban,Mobile,6.04,9,Evening,48,2,191.31,0,0.873,5,0.893,0.814,0.675,0.708,1
U0081,P0148,Beauty,BrandE,57,Male,Rural,Mobile,27.54,18,Evening,20,2,151.83,0,0.687,6,0.909,0.99,0.891,0.717,1
U0163,P0011,Toys,BrandC,24,Male,Rural,Mobile,45.63,18,Evening,8,1,445.28,0,0.27,5,0.763,0.903,0.966,0.56,0
U0289,P0130,Beauty,BrandE,56,Other,Urban,Desktop,47.85,7,Morning,47,5,499.69,1,0.157,2,0.673,0.474,0.871,0.64,1
U0261,P0195,Electronics,BrandD,55,Female,Rural,Mobile,30.18,4,Morning,37,5,336.83,0,0.482,9,0.932,0.806,0.154,0.714,1
U0231,P0119,Books,BrandE,38,Female,Urban,Mobile,53.79,13,Night,21,4,495.04,1,0.114,5,0.909,0.921,0.698,0.584,0
U0041,P0140,Sports,BrandA,37,Female,Suburban,Mobile,16.79,17,Night,42,3,331.68,0,0.386,5,0.686,0.741,0.806,0.656,1
U0028,P0020,Clothing,BrandD,20,Male,Suburban,Mobile,25.23,2,Evening,22,3,368.06,1,0.431,10,0.633,0.481,0.984,0.59,0
U0135,P0005,Toys,BrandB,39,Female,Suburban,Mobile,54.02,14,Morning,48,1,197.38,0,0.438,9,0.754,0.159,0.437,0.486,0
U0201,P0037,Home & Kitchen,BrandC,64,Male,Urban,Desktop,53.88,3,Afternoon,3,2,219.32,0,0.981,3,0.837,0.829,0.253,0.634,1
U0268,P0166,Sports,BrandD,21,Female,Rural,Desktop,41.46,5,Evening,28,1,76.35,1,0.374,5,0.661,0.957,0.868,0.441,0
U0033,P0137,Toys,BrandD,45,Other,Urban,Mobile,51.68,14,Night,14,5,412.26,0,0.339,5,0.78,0.426,0.386,0.701,1
U0048,P0053,Beauty,BrandA,29,Female,Urban,Desktop,6.24,3,Morning,0,2,465.87,0,0.216,2,0.749,0.237,0.638,0.541,0
U0062,P0172,Beauty,BrandC,55,Male,Suburban,Desktop,52.03,7,Night,29,1,313.6,0,0.56,4,0.912,0.394,0.451,0.545,0
U0216,P0099,Sports,BrandB,53,Female,Urban,Mobile,19.92,18,Night,28,4,175.11,1,0.238,2,0.75,0.624,0.462,0.53,0
U0293,P0086,Beauty,BrandD,64,Male,Rural,Mobile,11.52,13,Morning,19,5,81.24,0,0.655,5,0.787,0.385,0.759,0.84,1
U0099,P0108,Books,BrandD,58,Male,Urban,Mobile,15.12,10,Evening,32,3,136.25,0,0.24,10,0.934,0.65,0.425,0.6,0
U0172,P0024,Electronics,BrandA,22,Male,Urban,Mobile,25.66,13,Morning,40,1,131.43,1,0.619,2,0.705,0.97,0.724,0.47,0
U0214,P0081,Clothing,BrandE,30,Male,Rural,Desktop,15.82,16,Evening,43,5,308.7,0,0.844,10,0.701,0.704,0.113,0.732,1
U0035,P0158,Electronics,BrandB,40,Female,Suburban,Desktop,19.91,9,Night,35,5,472.79,1,0.138,9,0.88,0.426,0.392,0.582,0
U0227,P0120,Toys,BrandC,47,Female,Urban,Tablet,8.96,2,Morning,21,3,28.89,0,0.478,10,0.697,0.942,0.387,0.592,0
U0101,P0059,Clothing,BrandD,54,Other,Suburban,Desktop,18.47,5,Afternoon,12,3,5.51,1,0.515,6,0.891,0.609,0.774,0.616,1
U0131,P0128,Clothing,BrandD,42,Female,Suburban,Mobile,34.76,17,Evening,6,3,302.09,0,0.812,8,0.633,0.216,0.383,0.646,1
U0257,P0114,Electronics,BrandB,44,Female,Suburban,Mobile,27.07,4,Afternoon,7,1,145.61,0,0.521,9,0.639,0.549,0.67,0.526,0
U0005,P0115,Sports,BrandE,31,Male,Urban,Desktop,21.46,17,Evening,27,3,440.87,0,0.611,8,0.915,0.688,0.72,0.729,1
U0218,P0014,Clothing,BrandD,64,Male,Rural,Mobile,45.04,9,Morning,44,4,166.99,0,0.812,5,0.789,0.854,0.693,0.799,1
U0255,P0009,Electronics,BrandB,53,Female,Rural,Desktop,53.72,2,Afternoon,42,5,148.42,0,0.604,5,0.852,0.943,0.643,0.82,1
U0283,P0040,Clothing,BrandA,56,Male,Suburban,Desktop,45.65,18,Morning,8,3,138.41,0,0.422,6,0.679,0.386,0.472,0.595,0
U0207,P0194,Home & Kitchen,BrandE,33,Female,Urban,Desktop,20.59,11,Evening,24,5,76.7,0,0.177,1,0.658,0.24,0.436,0.654,1
U0015,P0025,Sports,BrandC,39,Male,Rural,Desktop,44.92,13,Evening,15,2,292.86,0,0.757,8,0.892,0.166,0.608,0.671,1
U0042,P0103,Books,BrandD,38,Male,Suburban,Mobile,9.97,8,Evening,9,2,88.27,0,0.884,2,0.726,0.765,0.157,0.573,0
U0179,P0022,Clothing,BrandB,38,Male,Suburban,Desktop,8.69,1,Evening,10,3,215.19,0,0.973,6,0.759,0.816,0.888,0.804,1
U0063,P0004,Home & Kitchen,BrandA,25,Male,Urban,Desktop,21.39,17,Night,30,5,233.18,0,0.934,9,0.61,0.468,0.843,0.877,1
U0231,P0154,Books,BrandC,33,Male,Rural,Mobile,48.65,12,Evening,11,2,15.14,0,0.818,3,0.735,0.456,0.412,0.613,1
U0241,P0186,Books,BrandB,48,Female,Suburban,Desktop,15.53,4,Afternoon,30,3,13.32,0,0.679,2,0.87,0.959,0.61,0.712,1
U0052,P0029,Toys,BrandB,59,Male,Urban,Mobile,4.73,13,Evening,13,5,262.51,0,0.803,10,0.887,0.925,0.939,0.926,1
U0096,P0109,Clothing,BrandC,27,Female,Urban,Tablet,8.77,9,Morning,43,3,349.54,1,0.489,5,0.845,0.31,0.344,0.516,0
U0222,P0098,Electronics,BrandA,49,Male,Rural,Mobile,51.67,7,Night,31,5,471.36,0,0.635,9,0.842,0.803,0.768,0.849,1
U0231,P0037,Clothing,BrandA,51,Male,Urban,Mobile,38.39,5,Afternoon,49,2,93.66,0,0.414,6,0.777,0.66,0.174,0.493,0
U0237,P0075,Home & Kitchen,BrandE,26,Male,Rural,Mobile,15.94,5,Night,16,3,56.11,0,0.394,8,0.788,0.239,0.571,0.631,1
U0143,P0070,Books,BrandD,34,Female,Suburban,Desktop,33.76,17,Night,34,2,30.78,1,0.781,8,0.86,0.421,0.896,0.627,1
U0171,P0146,Clothing,BrandC,28,Male,Suburban,Mobile,32.13,9,Night,0,3,220.84,0,0.509,7,0.687,0.26,0.597,0.639,1
U0029,P0128,Electronics,BrandC,49,Female,Urban,Mobile,39.67,6,Morning,28,1,313.46,1,0.291,5,0.681,0.366,0.655,0.385,0
U0036,P0085,Toys,BrandC,27,Male,Urban,Mobile,14.76,19,Night,3,2,421.07,0,0.282,2,0.932,0.654,0.917,0.646,1
U0013,P0042,Clothing,BrandA,39,Female,Rural,Tablet,52.0,16,Night,22,2,342.91,1,0.873,10,0.61,0.438,0.744,0.565,0
U0160,P0100,Sports,BrandD,34,Male,Urban,Mobile,19.25,2,Evening,27,4,108.14,0,0.71,10,0.649,0.455,0.726,0.757,1
U0187,P0041,Toys,BrandE,21,Female,Suburban,Mobile,41.95,10,Morning,15,2,233.58,0,0.591,5,0.8,0.586,0.628,0.624,1
U0243,P0166,Electronics,BrandB,64,Female,Urban,Desktop,1.95,16,Afternoon,11,5,455.62,0,0.461,7,0.858,0.179,0.67,0.798,1
U0086,P0034,Home & Kitchen,BrandB,42,Other,Urban,Mobile,22.99,5,Afternoon,20,3,166.74,1,0.488,7,0.788,0.765,0.823,0.6,0
U0284,P0017,Books,BrandC,38,Male,Urban,Tablet,21.75,15,Afternoon,44,1,251.87,1,0.152,2,0.724,0.462,0.981,0.431,0
U0066,P0165,Clothing,BrandD,54,Male,Suburban,Mobile,33.07,13,Morning,16,5,479.49,0,0.509,7,0.942,0.532,0.816,0.853,1
U0170,P0153,Electronics,BrandA,55,Male,Rural,Desktop,5.29,13,Afternoon,39,5,368.68,0,0.816,6,0.846,0.977,0.737,0.88,1
U0045,P0122,Toys,BrandD,18,Female,Urban,Mobile,47.62,13,Morning,12,5,375.13,0,0.449,7,0.891,0.41,0.222,0.712,1
U0062,P0076,Sports,BrandD,42,Female,Urban,Mobile,13.85,15,Evening,31,5,129.91,0,0.445,8,0.614,0.683,0.835,0.779,1
U0134,P0087,Electronics,BrandA,53,Female,Urban,Desktop,40.95,14,Evening,36,1,210.28,0,0.114,4,0.683,0.453,0.762,0.472,0
U0284,P0117,Beauty,BrandC,34,Male,Suburban,Mobile,48.39,8,Morning,49,4,45.76,0,0.512,1,0.731,0.905,0.793,0.747,1
U0028,P0106,Sports,BrandD,58,Male,Urban,Desktop,34.15,11,Afternoon,14,2,305.23,1,0.123,8,0.664,0.862,0.308,0.339,0
U0108,P0086,Toys,BrandB,41,Male,Rural,Mobile,44.71,18,Morning,11,5,56.35,0,0.613,8,0.626,0.317,0.913,0.83,1
U0044,P0027,Home & Kitchen,BrandA,19,Other,Suburban,Mobile,40.05,4,Morning,48,2,418.78,0,0.556,3,0.679,0.723,0.188,0.505,0
U0286,P0057,Books,BrandE,57,Female,Suburban,Mobile,21.98,10,Night,14,2,408.2,0,0.856,3,0.787,0.159,0.328,0.614,1
U0128,P0031,Toys,BrandC,32,Other,Urban,Tablet,48.72,1,Morning,33,5,269.13,1,0.624,5,0.844,0.967,0.697,0.733,1
U0231,P0134,Home & Kitchen,BrandA,49,Male,Rural,Mobile,18.39,5,Night,5,4,74.88,1,0.391,3,0.871,0.414,0.706,0.634,1
U0190,P0168,Clothing,BrandE,56,Female,Urban,Mobile,34.7,13,Evening,16,2,17.66,0,0.565,5,0.615,0.849,0.382,0.532,0
U0225,P0098,Electronics,BrandE,23,Female,Urban,Mobile,44.98,1,Night,47,3,399.37,1,0.73,8,0.75,0.387,0.731,0.622,1
U0283,P0012,Beauty,BrandD,18,Male,Suburban,Mobile,23.36,8,Morning,48,2,302.07,1,0.185,1,0.643,0.669,0.449,0.375,0
U0121,P0053,Sports,BrandD,64,Female,Suburban,Mobile,18.86,3,Evening,19,5,356.91,0,0.659,2,0.751,0.985,0.1,0.702,1
U0116,P0199,Sports,BrandD,40,Other,Urban,Tablet,28.1,3,Night,8,1,155.38,0,0.925,2,0.752,0.889,0.246,0.545,0
U0233,P0138,Electronics,BrandA,56,Female,Urban,Mobile,49.26,7,Morning,4,2,257.19,1,0.369,4,0.774,0.244,0.894,0.527,0
U0259,P0173,Beauty,BrandA,34,Female,Suburban,Desktop,55.87,4,Evening,22,4,374.85,0,0.664,9,0.912,0.593,0.3,0.715,1
U0198,P0145,Electronics,BrandC,51,Male,Urban,Mobile,33.16,3,Night,32,3,233.97,0,0.839,2,0.882,0.414,0.202,0.665,1
U0137,P0154,Clothing,BrandD,58,Male,Rural,Desktop,40.03,15,Morning,37,3,302.69,0,0.561,9,0.823,0.491,0.714,0.7,1
U0165,P0190,Home & Kitchen,BrandE,46,Other,Suburban,Tablet,54.29,8,Morning,13,1,395.92,0,0.746,7,0.91,0.402,0.497,0.591,0
U0225,P0122,Toys,BrandB,26,Male,Urban,Mobile,6.81,3,Afternoon,16,1,111.53,1,0.38,10,0.837,0.402,0.817,0.467,0
U0234,P0046,Sports,BrandC,30,Female,Urban,Tablet,14.69,7,Afternoon,18,2,37.63,0,0.375,8,0.887,0.588,0.875,0.647,1
U0172,P0064,Clothing,BrandA,23,Female,Urban,Mobile,42.83,18,Night,32,5,268.25,0,0.701,1,0.797,0.273,0.861,0.872,1
U0152,P0130,Home & Kitchen,BrandC,23,Female,Suburban,Tablet,49.6,11,Night,0,4,35.75,1,0.735,5,0.784,0.584,0.382,0.62,1
U0160,P0054,Clothing,BrandC,37,Other,Suburban,Desktop,51.56,11,Night,12,3,384.45,0,0.943,9,0.853,0.351,0.555,0.75,1
U0096,P0107,Beauty,BrandC,20,Male,Urban,Mobile,25.49,17,Morning,45,1,361.01,0,0.302,4,0.607,0.36,0.685,0.479,0
U0233,P0193,Sports,BrandC,34,Male,Suburban,Mobile,6.27,6,Night,26,4,441.45,1,0.521,2,0.842,0.765,0.39,0.591,0
U0180,P0051,Toys,BrandB,29,Male,Rural,Mobile,26.83,8,Morning,5,5,321.58,0,0.325,6,0.927,0.127,0.137,0.678,1
U0113,P0181,Electronics,BrandD,64,Male,Urban,Mobile,14.61,1,Night,5,3,38.26,0,0.172,2,0.85,0.443,0.546,0.594,0
U0052,P0036,Electronics,BrandE,62,Male,Rural,Mobile,18.18,10,Morning,32,3,130.31,0,0.463,3,0.613,0.467,0.112,0.518,0
U0268,P0115,Home & Kitchen,BrandC,18,Male,Urban,Mobile,46.56,19,Morning,29,5,404.93,0,0.437,8,0.732,0.537,0.956,0.825,1
U0295,P0026,Toys,BrandC,34,Female,Urban,Mobile,5.46,3,Afternoon,45,3,87.73,1,0.343,3,0.883,0.702,0.817,0.589,0
U0113,P0029,Books,BrandC,20,Other,Urban,Desktop,49.83,4,Evening,34,5,350.75,0,0.367,2,0.936,0.433,0.273,0.715,1
U0101,P0149,Beauty,BrandD,43,Male,Urban,Mobile,26.23,11,Morning,22,3,391.23,0,0.424,6,0.73,0.292,0.359,0.583,0
U0113,P0011,Home & Kitchen,BrandA,32,Male,Urban,Mobile,36.17,15,Night,9,2,168.41,0,0.99,3,0.894,0.896,0.985,0.794,1
U0081,P0040,Books,BrandA,53,Other,Urban,Desktop,6.29,1,Afternoon,18,5,164.54,0,0.805,1,0.902,0.983,0.436,0.829,1
U0187,P0011,Clothing,BrandB,49,Male,Rural,Mobile,20.9,9,Night,27,4,281.11,1,0.164,3,0.643,0.118,0.805,0.562,0
U0113,P0164,Beauty,BrandA,49,Male,Rural,Mobile,6.29,11,Night,22,2,431.34,1,0.885,6,0.896,0.592,0.502,0.577,0
U0002,P0113,Clothing,BrandC,21,Male,Suburban,Mobile,57.73,19,Morning,3,4,115.83,1,0.67,3,0.713,0.408,0.878,0.692,1
U0130,P0187,Toys,BrandC,35,Female,Urban,Tablet,48.63,13,Morning,19,3,470.92,0,0.902,9,0.808,0.349,0.733,0.769,1
U0220,P0039,Sports,BrandC,36,Male,Urban,Desktop,28.12,16,Evening,18,4,301.56,1,0.408,7,0.789,0.402,0.121,0.504,0
U0054,P0054,Beauty,BrandB,60,Other,Urban,Mobile,14.19,4,Morning,41,2,496.1,0,0.518,5,0.832,0.675,0.365,0.563,0
U0224,P0098,Books,BrandC,52,Male,Suburban,Desktop,56.07,1,Morning,26,5,49.36,1,0.907,2,0.859,0.272,0.602,0.774,1
U0225,P0055,Sports,BrandA,57,Female,Rural,Mobile,21.33,13,Evening,33,1,67.65,1,0.345,9,0.754,0.922,0.934,0.467,0
U0126,P0111,Electronics,BrandD,31,Male,Urban,Desktop,10.5,1,Night,3,4,414.19,0,0.924,5,0.911,0.52,0.192,0.745,1
U0130,P0152,Books,BrandD,50,Female,Urban,Desktop,34.23,5,Evening,37,1,433.05,0,0.846,7,0.883,0.393,0.641,0.634,1
U0053,P0150,Home & Kitchen,BrandE,31,Female,Suburban,Desktop,56.68,5,Evening,6,4,225.5,0,0.983,9,0.875,0.789,0.372,0.786,1
U0172,P0069,Electronics,BrandA,51,Female,Urban,Mobile,1.23,14,Evening,47,4,358.47,0,0.392,4,0.76,0.115,0.9,0.75,1
